#separator:Tab
#html:true
#tags column:5
#notetype:Грузинский: самое нужное — практика + аудирование
#deck:Грузинский - Самое нужное
#columns:Front	Back	Notes	Audio	Tags
Вы слышите: ინებეთ.<br>[sound:ge_essentials_practical-5ab427dafae1b9b8.wav]	Вот, пожалуйста. / Угощайтесь.			georgian audio restaurant recognition
Вы слышите: გემრიელად მიირთვით.<br>[sound:ge_essentials_practical-13af9ac5ad8b6c27.wav]	Приятного аппетита.	Ответ: მადლობა.		georgian audio restaurant recognition
яйцо	კვერცხი<br>[sound:ge_essentials_practical-54fdc00ae9f0ba0f.wav]			georgian audio food
сливочное масло	კარაქი<br>[sound:ge_essentials_practical-8fd2728e13d44087.wav]			georgian audio food
говядина	საქონლის ხორცი<br>[sound:ge_essentials_practical-e91c5f975c1b0dc7.wav]			georgian audio food
свинина	ღორის ხორცი<br>[sound:ge_essentials_practical-8ee83f0fd21d6ffd.wav]			georgian audio food
рыба	თევზი<br>[sound:ge_essentials_practical-1b8bb6e7e748fb1e.wav]			georgian audio food
картофель	კარტოფილი<br>[sound:ge_essentials_practical-4a73d83995f0f862.wav]			georgian audio food
лук	ხახვი<br>[sound:ge_essentials_practical-8deaeee9e1470d3c.wav]			georgian audio food
чеснок	ნიორი<br>[sound:ge_essentials_practical-51e535e0cccbe637.wav]	ნიორი — чеснок, ნიგოზი — грецкий орех.		georgian audio food
баклажан	ბადრიჯანი<br>[sound:ge_essentials_practical-7ee02bfb36100777.wav]			georgian audio food
гриб	სოკო<br>[sound:ge_essentials_practical-afa559d64a98d150.wav]			georgian audio food
овощи	ბოსტნეული<br>[sound:ge_essentials_practical-12a5c4dd9e758f5b.wav]			georgian audio food
яблоко	ვაშლი<br>[sound:ge_essentials_practical-ce3161f5c146f802.wav]			georgian audio food
банан	ბანანი<br>[sound:ge_essentials_practical-7589183113c6b726.wav]			georgian audio food
виноград	ყურძენი<br>[sound:ge_essentials_practical-e019e381ef9b7910.wav]			georgian audio food
арбуз	საზამთრო<br>[sound:ge_essentials_practical-9549e714236516c6.wav]			georgian audio food
персик	ატამი<br>[sound:ge_essentials_practical-a00d217a2a056277.wav]			georgian audio food
фундук	თხილი<br>[sound:ge_essentials_practical-3bd5245c0980666a.wav]	Не ნიგოზი (грецкий орех).		georgian audio food
мёд	თაფლი<br>[sound:ge_essentials_practical-0d1c4e91e0a3178c.wav]			georgian audio food
сахар	შაქარი<br>[sound:ge_essentials_practical-5d606c9a36322abe.wav]			georgian audio food
соль	მარილი<br>[sound:ge_essentials_practical-41b95d144811a7d3.wav]			georgian audio food
рис	ბრინჯი<br>[sound:ge_essentials_practical-00e272f93587d6e3.wav]			georgian audio food
сок	წვენი<br>[sound:ge_essentials_practical-5f3a0ff154f14313.wav]			georgian audio food
пиво	ლუდი<br>[sound:ge_essentials_practical-3c430695ed814b11.wav]			georgian audio food
красное вино	წითელი ღვინო<br>[sound:ge_essentials_practical-7f4077ca18be4c00.wav]			georgian audio food
белое вино	თეთრი ღვინო<br>[sound:ge_essentials_practical-46885e557e88c1c6.wav]	თეთრი — это ещё и тетри, 1/100 лари.		georgian audio food
сухое вино	მშრალი ღვინო<br>[sound:ge_essentials_practical-817f356b45172b91.wav]			georgian audio food
шашлык	მწვადი<br>[sound:ge_essentials_practical-f6392c167f1814b8.wav]			georgian audio food
пхали (овощная закуска с орехами)	ფხალი<br>[sound:ge_essentials_practical-b4e8cca0bcf105cd.wav]	В составе молотые грецкие орехи.		georgian audio food
чурчхела	ჩურჩხელა<br>[sound:ge_essentials_practical-662e3493d838db7d.wav]	Внутри орехи; какие — зависит от вида.		georgian audio food
ткемали (соус из кислой сливы)	ტყემალი<br>[sound:ge_essentials_practical-3cf0482957486fd1.wav]			georgian audio food
холодный	ცივი<br>[sound:ge_essentials_practical-da70983e1bd8305a.wav]			georgian audio food
сладкий	ტკბილი<br>[sound:ge_essentials_practical-03335e37e504c087.wav]			georgian audio food
кислый	მჟავე<br>[sound:ge_essentials_practical-090a5534816fb987.wav]			georgian audio food
Какой автобус идёт до вокзала?	რომელი ავტობუსი მიდის სადგურზე?<br>[sound:ge_essentials_practical-ef70ec21f01c4ee6.wav]			georgian audio transport
Я здесь выхожу.	აქ ჩავდივარ.<br>[sound:ge_essentials_practical-d475dff58a2367f9.wav]			georgian audio transport
Один билет до Батуми, пожалуйста.	ერთი ბილეთი ბათუმამდე, თუ შეიძლება.<br>[sound:ge_essentials_practical-24a2468745667bc7.wav]	-მდე — «до»: ბათუმამდე.		georgian audio transport
Когда отправляется поезд?	მატარებელი როდის გადის?<br>[sound:ge_essentials_practical-d01a5fbc408b8672.wav]			georgian audio transport
Как добраться до аэропорта?	აეროპორტში როგორ მივიდე?<br>[sound:ge_essentials_practical-655e6a0ecdd29b54.wav]			georgian audio transport
Сколько времени это займёт?	რამდენი დრო სჭირდება?<br>[sound:ge_essentials_practical-a300e8b916b10eae.wav]			georgian audio transport
Где купить проездную карту?	სამგზავრო ბარათი სად ვიყიდო?<br>[sound:ge_essentials_practical-15b9217cab0f392d.wav]			georgian audio transport
Это далеко?	შორს არის?<br>[sound:ge_essentials_practical-16cfff6df3ceb643.wav]	შორს — далеко, ახლოს — близко.		georgian audio transport
Туда можно дойти пешком?	ფეხით მივალ?<br>[sound:ge_essentials_practical-9b8807422b595c63.wav]	ფეხით — пешком.		georgian audio transport
Вы слышите: შემდეგ გაჩერებაზე.<br>[sound:ge_essentials_practical-f19b7702c7272a2c.wav]	На следующей остановке.			georgian audio transport recognition
Вы слышите: ბოლო გაჩერებაა.<br>[sound:ge_essentials_practical-37a60262a8a5b7ed.wav]	Это конечная остановка.			georgian audio transport recognition
автобус	ავტობუსი<br>[sound:ge_essentials_practical-31eb0edb1cc17535.wav]			georgian audio transport
маршрутка	მარშრუტკა<br>[sound:ge_essentials_practical-6ab008e040e7d0f9.wav]			georgian audio transport
поезд	მატარებელი<br>[sound:ge_essentials_practical-8d606d0213509483.wav]			georgian audio transport
билет	ბილეთი<br>[sound:ge_essentials_practical-54b9780fcab17bbf.wav]			georgian audio transport
вокзал / станция	სადგური<br>[sound:ge_essentials_practical-058ccf61949d7d09.wav]			georgian audio transport
улица	ქუჩა<br>[sound:ge_essentials_practical-371fa6907274900d.wav]			georgian audio transport
адрес	მისამართი<br>[sound:ge_essentials_practical-c7f3993e3b1dd6da.wav]			georgian audio transport
21	ოცდაერთი<br>[sound:ge_essentials_practical-56255e5090104592.wav]			georgian audio numbers
22	ოცდაორი<br>[sound:ge_essentials_practical-99006ec226f0d611.wav]			georgian audio numbers
25	ოცდახუთი<br>[sound:ge_essentials_practical-3101397af508f37a.wav]			georgian audio numbers
31	ოცდათერთმეტი<br>[sound:ge_essentials_practical-8745ad47865fd27a.wav]			georgian audio numbers
35	ოცდათხუთმეტი<br>[sound:ge_essentials_practical-b801fea4f8fd564a.wav]			georgian audio numbers
39	ოცდაცხრამეტი<br>[sound:ge_essentials_practical-410ae994048be126.wav]			georgian audio numbers
45	ორმოცდახუთი<br>[sound:ge_essentials_practical-16f180873f77956b.wav]			georgian audio numbers
99	ოთხმოცდაცხრამეტი<br>[sound:ge_essentials_practical-6f96f6db0cc05167.wav]			georgian audio numbers
101	ას ერთი<br>[sound:ge_essentials_practical-78e3675e1eabc28f.wav]			georgian audio numbers
150	ას ორმოცდაათი<br>[sound:ge_essentials_practical-1659adc30807872b.wav]			georgian audio numbers
200	ორასი<br>[sound:ge_essentials_practical-0ffa1a811c33cf56.wav]			georgian audio numbers
500	ხუთასი<br>[sound:ge_essentials_practical-51fcccefc1555ef8.wav]			georgian audio numbers
1000	ათასი<br>[sound:ge_essentials_practical-2b6fc411e3808d73.wav]			georgian audio numbers
2000	ორი ათასი<br>[sound:ge_essentials_practical-d75974346b45aa80.wav]			georgian audio numbers
полкило	ნახევარი კილო<br>[sound:ge_essentials_practical-eb00bc7b1b9d3d7d.wav]			georgian audio numbers
100 граммов	ასი გრამი<br>[sound:ge_essentials_practical-6a49b060a4464ed7.wav]			georgian audio numbers
один литр	ერთი ლიტრი<br>[sound:ge_essentials_practical-0fd736947689439f.wav]			georgian audio numbers
первый	პირველი<br>[sound:ge_essentials_practical-32be4f8eb2f6c465.wav]	Исключение. Остальные по схеме მე-…-ე: მეორე, მესამე.		georgian audio numbers
второй	მეორე<br>[sound:ge_essentials_practical-58c64a8d7ab0d586.wav]			georgian audio numbers
третий	მესამე<br>[sound:ge_essentials_practical-34a407fc2a3e4b49.wav]			georgian audio numbers
мальчик	ბიჭი<br>[sound:ge_essentials_practical-436040da7f5e79ae.wav]			georgian audio basics
девочка	გოგო<br>[sound:ge_essentials_practical-09eded8e3bb89f08.wav]			georgian audio basics
друг / подруга	მეგობარი<br>[sound:ge_essentials_practical-4459e87d00f11cc8.wav]			georgian audio basics
мама	დედა<br>[sound:ge_essentials_practical-3a2a0a543bf6d4b8.wav]	დედა — мама, მამა — папа. Не путайте с русским «мама».		georgian audio basics
папа	მამა<br>[sound:ge_essentials_practical-a5e7a3c5a9f840e2.wav]	მამა — папа, დედა — мама. Не путайте с русским «мама».		georgian audio basics
я	მე<br>[sound:ge_essentials_practical-0c605875a0ace9b5.wav]	Обычно опускается: лицо видно по глаголу.		georgian audio basics
вы (вежливо или мн. ч.)	თქვენ<br>[sound:ge_essentials_practical-4d94337510bcb4fc.wav]	На «ты»: შენ.		georgian audio basics
то / он / она	ის<br>[sound:ge_essentials_practical-60052ab87c278763.wav]	Рода в грузинском нет: ის — и «то», и «он», и «она».		georgian audio basics
там	იქ<br>[sound:ge_essentials_practical-d8675e72d0e8a839.wav]	იქ — там, აქ — здесь.		georgian audio basics
когда?	როდის?<br>[sound:ge_essentials_practical-a99e8a29b5b5bb10.wav]			georgian audio basics
что?	რა?<br>[sound:ge_essentials_practical-7efbd246999c4d5c.wav]	Меняет форму в предложении: რას მირჩევთ?		georgian audio basics
потом	მერე<br>[sound:ge_essentials_practical-0f22fe2c31e4b107.wav]			georgian audio basics
минута	წუთი<br>[sound:ge_essentials_practical-cc2996fb59df0395.wav]			georgian audio basics
час / часы	საათი<br>[sound:ge_essentials_practical-75d8236783b869ca.wav]	Одно слово и для «час», и для «часы».		georgian audio basics
большой	დიდი<br>[sound:ge_essentials_practical-90501a5bdbe88ce5.wav]			georgian audio basics
маленький	პატარა<br>[sound:ge_essentials_practical-0142ed414bd4a3a2.wav]			georgian audio basics
хороший	კარგი<br>[sound:ge_essentials_practical-ff500e27dc2a1471.wav]	Отдельно значит «ладно».		georgian audio basics
плохой	ცუდი<br>[sound:ge_essentials_practical-323dd961e8bb8834.wav]			georgian audio basics
и	და<br>[sound:ge_essentials_practical-a10a8d4eb20a665a.wav]			georgian audio basics
Я заблудился / заблудилась.	დავიკარგე.<br>[sound:ge_essentials_practical-06b6e56afa7f3bea.wav]	დავიკარგე — я заблудился; დავკარგე — я что-то потерял.		georgian audio help
Где аптека?	აფთიაქი სად არის?<br>[sound:ge_essentials_practical-fea5a89d3e6435b1.wav]			georgian audio help
Мне нужен врач.	ექიმი მჭირდება.<br>[sound:ge_essentials_practical-a2ec5482af8bc99b.wav]			georgian audio help
Где банкомат?	ბანკომატი სად არის?<br>[sound:ge_essentials_practical-f11e226a97b2bcaf.wav]			georgian audio shopping
Интернет не работает.	ინტერნეტი არ მუშაობს.<br>[sound:ge_essentials_practical-0091c358514ce004.wav]	არ მუშაობს — о чём угодно сломанном.		georgian audio basics
Какой пароль от вайфая?	ვაიფაის პაროლი რა არის?<br>[sound:ge_essentials_practical-6b00dcdb3ce79126.wav]			georgian audio basics
Напишите номер, пожалуйста.	ნომერი დამიწერეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-30ca332bef32be08.wav]	ნომერი — номер (телефона, комнаты); цена — ფასი.		georgian audio clarification expansion
Я имел(а) в виду вот это.	ეს ვიგულისხმე.<br>[sound:ge_essentials_practical-cf9271c83cd41d49.wav]			georgian audio clarification expansion
Я это не заказывал(а).	ეს არ შემიკვეთავს.<br>[sound:ge_essentials_practical-8ee17008e7917ca6.wav]			georgian audio clarification expansion
Только один, пожалуйста.	მხოლოდ ერთი, თუ შეიძლება.<br>[sound:ge_essentials_practical-57182a7550ba18d1.wav]			georgian audio clarification expansion
То же самое, пожалуйста.	იგივე, თუ შეიძლება.<br>[sound:ge_essentials_practical-c17cceb9212f7da7.wav]			georgian audio clarification expansion
Можете показать?	შეგიძლიათ მაჩვენოთ?<br>[sound:ge_essentials_practical-839986a1b7782c35.wav]	შეგიძლიათ + глагол = «можете…»		georgian audio clarification expansion
Это правильно?	ეს სწორია?<br>[sound:ge_essentials_practical-c2b20d090717d80b.wav]			georgian audio clarification expansion
Здесь ошибка.	აქ შეცდომაა.<br>[sound:ge_essentials_practical-73681639f04e8673.wav]			georgian audio clarification expansion
Подождите меня, пожалуйста.	დამელოდეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-38fe311ce88b231a.wav]			georgian audio clarification expansion
У меня аллергия на арахис.	მიწის თხილზე ალერგია მაქვს.<br>[sound:ge_essentials_practical-7fad129fe240ad69.wav]	მიწის თხილი — арахис, თხილი — фундук, ნიგოზი — грецкий орех.		georgian audio food expansion
У меня аллергия на молоко.	რძეზე ალერგია მაქვს.<br>[sound:ge_essentials_practical-bbccd7eae5bc395a.wav]			georgian audio food expansion
В этом есть молоко?	ამაში რძე არის?<br>[sound:ge_essentials_practical-9619c7b14ee37df1.wav]			georgian audio food expansion
В этом есть яйца?	ამაში კვერცხი არის?<br>[sound:ge_essentials_practical-497394414d7ddabd.wav]			georgian audio food expansion
В этом есть сливочное масло?	ამაში კარაქი არის?<br>[sound:ge_essentials_practical-f9cab9500dd4b888.wav]			georgian audio food expansion
Без кинзы, пожалуйста.	ქინძის გარეშე, თუ შეიძლება.<br>[sound:ge_essentials_practical-9973769d612dc345.wav]	ქინძი → ქინძის перед გარეშე.		georgian audio food expansion
Без мяса и мясного бульона, пожалуйста.	ხორცისა და ხორცის ბულიონის გარეშე, თუ შეიძლება.<br>[sound:ge_essentials_practical-75195154daf9ec8a.wav]			georgian audio food expansion
Я не ем свинину.	ღორის ხორცს არ ვჭამ.<br>[sound:ge_essentials_practical-20255a824164eba1.wav]			georgian audio food expansion
Можете приготовить без сыра?	ყველის გარეშე შეგიძლიათ მოამზადოთ?<br>[sound:ge_essentials_practical-6fd7652c250d1c0f.wav]			georgian audio food expansion
Обслуживание включено в цену?	მომსახურება ფასში შედის?<br>[sound:ge_essentials_practical-5de26d8f2f83e4a7.wav]	В ответ услышите ფასში შედის.		georgian audio restaurant expansion
Вызовите полицию, пожалуйста.	პოლიცია გამოიძახეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-bb85422a184ed226.wav]			georgian audio help expansion
Где ближайшая больница?	უახლოესი საავადმყოფო სად არის?<br>[sound:ge_essentials_practical-6238cab510716d4f.wav]			georgian audio help expansion
Я потерял(а) телефон.	ტელეფონი დავკარგე.<br>[sound:ge_essentials_practical-29b13b89f27657dc.wav]	დავკარგე — я потерял; დავიკარგე — я заблудился.		georgian audio help expansion
Я потерял(а) кошелёк.	საფულე დავკარგე.<br>[sound:ge_essentials_practical-649da6aa4a9a9470.wav]			georgian audio help expansion
Можно воспользоваться вашим телефоном?	შეიძლება თქვენი ტელეფონით ვისარგებლო?<br>[sound:ge_essentials_practical-e03a896c4da056a4.wav]			georgian audio help expansion
У меня сел телефон.	ტელეფონი დამიჯდა.<br>[sound:ge_essentials_practical-d6dc7e0d7972afaf.wav]	Как и по-русски: телефон «сел».		georgian audio help expansion
Вы завтра работаете?	ხვალ მუშაობთ?<br>[sound:ge_essentials_practical-78a222cef4610fa2.wav]			georgian audio time expansion
Можно прийти завтра?	ხვალ შეიძლება მოვიდე?<br>[sound:ge_essentials_practical-179682534a171e67.wav]			georgian audio time expansion
Который час?	რომელი საათია?<br>[sound:ge_essentials_practical-4cd561392011d8ec.wav]			georgian audio time expansion
В три часа.	სამ საათზე.<br>[sound:ge_essentials_practical-bee20dd4f826efd5.wav]	სამი → სამ перед საათზე.		georgian audio time expansion
Через десять минут.	ათ წუთში.<br>[sound:ge_essentials_practical-b7146a274d9854ef.wav]	ათი → ათ перед წუთში.		georgian audio time expansion
Сколько нужно ждать?	რამდენ ხანს უნდა დაველოდო?<br>[sound:ge_essentials_practical-aeddb65aabd1bb75.wav]			georgian audio time expansion
Я опаздываю.	ვაგვიანებ.<br>[sound:ge_essentials_practical-f3a9dc75060b4757.wav]			georgian audio time expansion
понедельник	ორშაბათი<br>[sound:ge_essentials_practical-f6344259037c99f5.wav]	Дни считаются от შაბათი (суббота): ორ-, სამ-, ოთხ-, ხუთ- + შაბათი. «В понедельник» — с -ს: ორშაბათს.		georgian audio time expansion
вторник	სამშაბათი<br>[sound:ge_essentials_practical-a20fd7938210e9e2.wav]			georgian audio time expansion
среда	ოთხშაბათი<br>[sound:ge_essentials_practical-88f59e82c063537f.wav]			georgian audio time expansion
четверг	ხუთშაბათი<br>[sound:ge_essentials_practical-b7323cdc7e943ec5.wav]			georgian audio time expansion
пятница	პარასკევი<br>[sound:ge_essentials_practical-3832036e54eb59fc.wav]			georgian audio time expansion
суббота	შაბათი<br>[sound:ge_essentials_practical-c183815d24d843aa.wav]			georgian audio time expansion
воскресенье	კვირა<br>[sound:ge_essentials_practical-a7b96cc889b37818.wav]	კვირა — это ещё и «неделя». В воскресенье: კვირას.		georgian audio time expansion
Ключ не работает.	გასაღები არ მუშაობს.<br>[sound:ge_essentials_practical-88d0ed2f830fd8bc.wav]			georgian audio accommodation expansion
Нет света.	დენი არ არის.<br>[sound:ge_essentials_practical-61653cb9a89c4879.wav]	დენი — электрический ток.		georgian audio accommodation expansion
Отопление не работает.	გათბობა არ მუშაობს.<br>[sound:ge_essentials_practical-a756920b8cdec380.wav]			georgian audio accommodation expansion
Кондиционер не работает.	კონდიციონერი არ მუშაობს.<br>[sound:ge_essentials_practical-26d308c6b1027614.wav]			georgian audio accommodation expansion
Можете починить?	შეგიძლიათ შეაკეთოთ?<br>[sound:ge_essentials_practical-0002d4d06d57cea1.wav]			georgian audio accommodation expansion
Во сколько нужно освободить номер?	რომელ საათზე უნდა გავიდე ნომრიდან?<br>[sound:ge_essentials_practical-40b670aec2006c43.wav]	ნომერი здесь — номер в гостинице.		georgian audio accommodation expansion
Можно оставить здесь сумку?	შეიძლება ჩანთა აქ დავტოვო?<br>[sound:ge_essentials_practical-7677c79f3f666c38.wav]			georgian audio accommodation expansion
Куда выбросить мусор?	ნაგავი სად ჩავყარო?<br>[sound:ge_essentials_practical-71ae4d6195045a83.wav]			georgian audio accommodation expansion
Я правильно иду?	ეს სწორი მიმართულებაა?<br>[sound:ge_essentials_practical-939deea14763b236.wav]			georgian audio transport expansion
Этот автобус там останавливается?	ეს ავტობუსი იქ ჩერდება?<br>[sound:ge_essentials_practical-b9d85b3eba7f9dae.wav]			georgian audio transport expansion
Я проехал(а) свою остановку.	ჩემს გაჩერებას გავცდი.<br>[sound:ge_essentials_practical-05698ed0f79f2b17.wav]			georgian audio transport expansion
Где пополнить проездную карту?	სამგზავრო ბარათი სად შევავსო?<br>[sound:ge_essentials_practical-011e8a3672419179.wav]			georgian audio transport expansion
Мне нужно пересаживаться на другой автобус?	სხვა ავტობუსში უნდა გადავჯდე?<br>[sound:ge_essentials_practical-13ae29d7470fc2d9.wav]	Можете услышать: უნდა გადაჯდეთ.		georgian audio transport expansion
Это место свободно?	ეს ადგილი თავისუფალია?<br>[sound:ge_essentials_practical-6f70ca277788ca20.wav]			georgian audio transport expansion
Где мне подождать?	სად დაველოდო?<br>[sound:ge_essentials_practical-858f5a3c4df2ebad.wav]			georgian audio transport expansion
Как вас зовут?	რა გქვიათ?<br>[sound:ge_essentials_practical-71cea883f1737b59.wav]	На «ты»: რა გქვია?		georgian audio social expansion
Приятно познакомиться.	სასიამოვნოა თქვენი გაცნობა.<br>[sound:ge_essentials_practical-159d099f1cb44b6c.wav]			georgian audio social expansion
Откуда вы?	საიდან ხართ?<br>[sound:ge_essentials_practical-83bb554fd450c6e9.wav]			georgian audio social expansion
Я здесь живу.	აქ ვცხოვრობ.<br>[sound:ge_essentials_practical-bfb306e2df9bcd6e.wav]			georgian audio social expansion
Хорошего дня.	კარგ დღეს გისურვებთ.<br>[sound:ge_essentials_practical-46fae99c16bf93a0.wav]			georgian audio social expansion
Увидимся завтра.	ხვალამდე.<br>[sound:ge_essentials_practical-8a7e381df1f572f4.wav]	Снова -მდე: буквально «до завтра».		georgian audio social expansion
Мне нравится Грузия.	საქართველო მომწონს.<br>[sound:ge_essentials_practical-59af0bb83df9135f.wav]	საქართველო — страна; ქართული — язык.		georgian audio social expansion
Я не пью алкоголь.	ალკოჰოლს არ ვსვამ.<br>[sound:ge_essentials_practical-efa025fa843536ac.wav]			georgian audio boundaries expansion
Мне не нужна помощь, спасибо.	დახმარება არ მჭირდება, მადლობა.<br>[sound:ge_essentials_practical-845792ef5e699e68.wav]			georgian audio boundaries expansion
Пожалуйста, не делайте так.	ასე ნუ აკეთებთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-0266ab3c44ca3a88.wav]	Запрет: ნუ + глагол, а не არ.		georgian audio boundaries expansion
Оставьте меня в покое, пожалуйста.	თავი დამანებეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-90b80f34b04de667.wav]			georgian audio boundaries expansion
Не трогайте меня.	არ შემეხოთ.<br>[sound:ge_essentials_practical-6187b4bcac688e2f.wav]			georgian audio boundaries expansion
Вы слышите: უნდა გადაჯდეთ.<br>[sound:ge_essentials_practical-f9626b569cd3cb82.wav]	Вам нужно пересесть.			georgian audio replies recognition expansion
Вы слышите: გვერდით იკითხეთ.<br>[sound:ge_essentials_practical-2e9c7942173eed58.wav]	Спросите по соседству.	გვერდით — рядом, по соседству.		georgian audio replies recognition expansion
Вы слышите: ფასში შედის.<br>[sound:ge_essentials_practical-8e2c961e4b016106.wav]	Это входит в цену.			georgian audio replies recognition expansion
Вы слышите: დაელოდეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-b5662ff014725c06.wav]	Подождите, пожалуйста.			georgian audio replies recognition expansion
Вы слышите: თქვენი ჯერია.<br>[sound:ge_essentials_practical-964bfe86ee2dc4e1.wav]	Ваша очередь.			georgian audio replies recognition expansion
Вы слышите: სამწუხაროდ, არა.<br>[sound:ge_essentials_practical-d5fab2ba45f364a0.wav]	К сожалению, нет.			georgian audio replies recognition expansion
Вы слышите: რა თქმა უნდა.<br>[sound:ge_essentials_practical-b264010c55ee17ce.wav]	Конечно.	Буквально: что тут говорить.		georgian audio replies recognition expansion
Вы слышите: პრობლემა არ არის.<br>[sound:ge_essentials_practical-873858179b1a6e67.wav]	Без проблем.			georgian audio replies recognition expansion
Вы слышите: ხვალ მოდით.<br>[sound:ge_essentials_practical-3bf20784d138b280.wav]	Приходите завтра.			georgian audio replies recognition expansion
Вы слышите: სად გტკივათ?<br>[sound:ge_essentials_practical-f80cc4a939a9b2be.wav]	Где болит?	Ответ: აქ მტკივა — и покажите где.		georgian audio replies recognition expansion
Прочитайте вслух:<br>ფური და პური.	Корова и хлеб.	ფ придыхательный · პ абруптивный.	[sound:ge_essentials_01-furi-puri.wav]	georgian pronunciation audio
Прочитайте вслух:<br>თარო და ტარო.	Полка и кукурузный початок.	თ придыхательный · ტ абруптивный.	[sound:ge_essentials_02-taro.wav]	georgian pronunciation audio
Прочитайте вслух:<br>ქარი და კარი.	Ветер и дверь.	ქ придыхательный · კ абруптивный. Оба смычные, не ხ.	[sound:ge_essentials_03-kari.wav]	georgian pronunciation audio
Прочитайте вслух:<br>ცელი და წელი.	Коса и год.	ც придыхательный · წ абруптивный. Каждый — один звук.	[sound:ge_essentials_04-tseli.wav]	georgian pronunciation audio
Прочитайте вслух:<br>ჩირი და ჭირი.	Сухофрукты и беда.	ჩ придыхательный · ჭ абруптивный. Ни один из них не შ.	[sound:ge_essentials_05-chiri.wav]	georgian pronunciation audio
Прочитайте вслух:<br>კაცი და ქალი.	Мужчина и женщина.	კ абруптивный · ქ придыхательный.	[sound:ge_essentials_06-man-woman.wav]	georgian pronunciation audio
Прочитайте вслух:<br>პური, თუ შეიძლება.	Хлеб, пожалуйста.	პ абруптивный · თ придыхательный · ძ звонкий.	[sound:ge_essentials_07-bread-please.wav]	georgian pronunciation audio
Прочитайте вслух:<br>თეთრი პური.	Белый хлеб.	თ придыхательный · პ абруптивный. В თრ нет гласной.	[sound:ge_essentials_08-white-bread.wav]	georgian pronunciation audio
Прочитайте вслух:<br>ცხელი ჩაი.	Горячий чай.	ც, ჩ придыхательные · ხ щелевой. В ცხ нет гласной.	[sound:ge_essentials_09-hot-tea.wav]	georgian pronunciation audio
Прочитайте вслух:<br>წყალი, თუ შეიძლება.	Воды, пожалуйста.	წ абруптивный + ყ увулярный, без гласной между ними.	[sound:ge_essentials_10-water-please.wav]	georgian pronunciation audio
Прочитайте вслух:<br>ყავა და ყველი.	Кофе и сыр.	ყ увулярный — не კ, ქ и не ხ. Затем ყვ.	[sound:ge_essentials_11-coffee-cheese.wav]	georgian pronunciation audio
Прочитайте вслух:<br>ღვინო და ხილი.	Вино и фрукты.	ღ звонкий · ხ глухой. Оба щелевые, не ქ.	[sound:ge_essentials_12-wine-fruit.wav]	georgian pronunciation audio
Прочитайте вслух:<br>დიდი მადლობა.	Большое спасибо.	დ звонкий, не თ и не ტ. В დლ нет гласной.	[sound:ge_essentials_13-thanks.wav]	georgian pronunciation audio
Прочитайте вслух:<br>ბაყაყი წყალში ყიყინებს.	Лягушка квакает в воде.	Повторяющийся ყ · сочетание წყ. Скороговорка.	[sound:ge_essentials_14-frog.wav]	georgian pronunciation audio
Прочитайте вслух:<br>რვა, ცხრა, ათი.	Восемь, девять, десять.	Сочетания რვ, ცხრ · თ придыхательный. Без лишних гласных.	[sound:ge_essentials_15-numbers.wav]	georgian pronunciation audio
Прочитайте вслух:<br>ხუთი ხინკალი, თუ შეიძლება.	Пять хинкали, пожалуйста.	ხ щелевой · თ придыхательный · კ абруптивный.	[sound:ge_essentials_16-five-khinkali.wav]	georgian pronunciation audio
Прочитайте вслух:<br>ქართულს ვსწავლობ.	Я учу грузинский.	Сочетание ვსწ · წ абруптивный · ქ, თ придыхательные.	[sound:ge_essentials_17-learning.wav]	georgian pronunciation audio
Прочитайте вслух:<br>თეთრი თეფში.	Белая тарелка.	თ придыхательный · ფ придыхательный, не შ.	[sound:ge_essentials_18-tetri.wav]	georgian pronunciation audio
