#separator:Tab
#html:true
#tags column:5
#notetype:Georgian Essentials — Practical + Listening
#deck:Georgian - Essentials
#columns:Front	Back	Notes	Audio	Tags
eggplant / aubergine	ბადრიჯანი<br>[sound:ge_essentials_practical-7ee02bfb36100777.wav]			georgian audio food
mushroom	სოკო<br>[sound:ge_essentials_practical-afa559d64a98d150.wav]			georgian audio food
vegetables	ბოსტნეული<br>[sound:ge_essentials_practical-12a5c4dd9e758f5b.wav]			georgian audio food
apple	ვაშლი<br>[sound:ge_essentials_practical-ce3161f5c146f802.wav]			georgian audio food
banana	ბანანი<br>[sound:ge_essentials_practical-7589183113c6b726.wav]			georgian audio food
grapes	ყურძენი<br>[sound:ge_essentials_practical-e019e381ef9b7910.wav]			georgian audio food
watermelon	საზამთრო<br>[sound:ge_essentials_practical-9549e714236516c6.wav]			georgian audio food
peach	ატამი<br>[sound:ge_essentials_practical-a00d217a2a056277.wav]			georgian audio food
hazelnuts	თხილი<br>[sound:ge_essentials_practical-3bd5245c0980666a.wav]	Not ნიგოზი (walnut).		georgian audio food
honey	თაფლი<br>[sound:ge_essentials_practical-0d1c4e91e0a3178c.wav]			georgian audio food
sugar	შაქარი<br>[sound:ge_essentials_practical-5d606c9a36322abe.wav]			georgian audio food
salt	მარილი<br>[sound:ge_essentials_practical-41b95d144811a7d3.wav]			georgian audio food
rice	ბრინჯი<br>[sound:ge_essentials_practical-00e272f93587d6e3.wav]			georgian audio food
juice	წვენი<br>[sound:ge_essentials_practical-5f3a0ff154f14313.wav]			georgian audio food
beer	ლუდი<br>[sound:ge_essentials_practical-3c430695ed814b11.wav]			georgian audio food
red wine	წითელი ღვინო<br>[sound:ge_essentials_practical-7f4077ca18be4c00.wav]			georgian audio food
white wine	თეთრი ღვინო<br>[sound:ge_essentials_practical-46885e557e88c1c6.wav]	თეთრი also = tetri, 1/100 of a lari.		georgian audio food
dry wine	მშრალი ღვინო<br>[sound:ge_essentials_practical-817f356b45172b91.wav]			georgian audio food
grilled meat on skewers	მწვადი<br>[sound:ge_essentials_practical-f6392c167f1814b8.wav]			georgian audio food
vegetable-and-walnut appetizer	ფხალი<br>[sound:ge_essentials_practical-b4e8cca0bcf105cd.wav]	Contains ground walnuts.		georgian audio food
churchkhela (nuts in thickened grape juice)	ჩურჩხელა<br>[sound:ge_essentials_practical-662e3493d838db7d.wav]	Nuts inside; the type varies.		georgian audio food
sour plum sauce	ტყემალი<br>[sound:ge_essentials_practical-3cf0482957486fd1.wav]			georgian audio food
cold	ცივი<br>[sound:ge_essentials_practical-da70983e1bd8305a.wav]			georgian audio food
sweet	ტკბილი<br>[sound:ge_essentials_practical-03335e37e504c087.wav]			georgian audio food
sour	მჟავე<br>[sound:ge_essentials_practical-090a5534816fb987.wav]			georgian audio food
Which bus goes to the station?	რომელი ავტობუსი მიდის სადგურზე?<br>[sound:ge_essentials_practical-ef70ec21f01c4ee6.wav]			georgian audio transport
I&#x27;m getting off here.	აქ ჩავდივარ.<br>[sound:ge_essentials_practical-d475dff58a2367f9.wav]			georgian audio transport
One ticket to Batumi, please.	ერთი ბილეთი ბათუმამდე, თუ შეიძლება.<br>[sound:ge_essentials_practical-24a2468745667bc7.wav]	-მდე = as far as: ბათუმამდე.		georgian audio transport
When does the train leave?	მატარებელი როდის გადის?<br>[sound:ge_essentials_practical-d01a5fbc408b8672.wav]			georgian audio transport
How do I get to the airport?	აეროპორტში როგორ მივიდე?<br>[sound:ge_essentials_practical-655e6a0ecdd29b54.wav]			georgian audio transport
How long does it take?	რამდენი დრო სჭირდება?<br>[sound:ge_essentials_practical-a300e8b916b10eae.wav]			georgian audio transport
Where can I buy a travel card?	სამგზავრო ბარათი სად ვიყიდო?<br>[sound:ge_essentials_practical-15b9217cab0f392d.wav]			georgian audio transport
Is it far?	შორს არის?<br>[sound:ge_essentials_practical-16cfff6df3ceb643.wav]	შორს = far, ახლოს = near.		georgian audio transport
Can I walk there?	ფეხით მივალ?<br>[sound:ge_essentials_practical-9b8807422b595c63.wav]	ფეხით = on foot.		georgian audio transport
You hear: შემდეგ გაჩერებაზე.<br>[sound:ge_essentials_practical-f19b7702c7272a2c.wav]	At the next stop.			georgian audio transport recognition
You hear: ბოლო გაჩერებაა.<br>[sound:ge_essentials_practical-37a60262a8a5b7ed.wav]	This is the last stop.			georgian audio transport recognition
bus	ავტობუსი<br>[sound:ge_essentials_practical-31eb0edb1cc17535.wav]			georgian audio transport
minibus / shared van	მარშრუტკა<br>[sound:ge_essentials_practical-6ab008e040e7d0f9.wav]			georgian audio transport
train	მატარებელი<br>[sound:ge_essentials_practical-8d606d0213509483.wav]			georgian audio transport
ticket	ბილეთი<br>[sound:ge_essentials_practical-54b9780fcab17bbf.wav]			georgian audio transport
station	სადგური<br>[sound:ge_essentials_practical-058ccf61949d7d09.wav]			georgian audio transport
street	ქუჩა<br>[sound:ge_essentials_practical-371fa6907274900d.wav]			georgian audio transport
address	მისამართი<br>[sound:ge_essentials_practical-c7f3993e3b1dd6da.wav]			georgian audio transport
21	ოცდაერთი<br>[sound:ge_essentials_practical-56255e5090104592.wav]			georgian audio numbers
22	ოცდაორი<br>[sound:ge_essentials_practical-99006ec226f0d611.wav]			georgian audio numbers
25	ოცდახუთი<br>[sound:ge_essentials_practical-3101397af508f37a.wav]			georgian audio numbers
31	ოცდათერთმეტი<br>[sound:ge_essentials_practical-8745ad47865fd27a.wav]			georgian audio numbers
35	ოცდათხუთმეტი<br>[sound:ge_essentials_practical-b801fea4f8fd564a.wav]			georgian audio numbers
39	ოცდაცხრამეტი<br>[sound:ge_essentials_practical-410ae994048be126.wav]			georgian audio numbers
45	ორმოცდახუთი<br>[sound:ge_essentials_practical-16f180873f77956b.wav]			georgian audio numbers
99	ოთხმოცდაცხრამეტი<br>[sound:ge_essentials_practical-6f96f6db0cc05167.wav]			georgian audio numbers
101	ას ერთი<br>[sound:ge_essentials_practical-78e3675e1eabc28f.wav]			georgian audio numbers
150	ას ორმოცდაათი<br>[sound:ge_essentials_practical-1659adc30807872b.wav]			georgian audio numbers
200	ორასი<br>[sound:ge_essentials_practical-0ffa1a811c33cf56.wav]			georgian audio numbers
500	ხუთასი<br>[sound:ge_essentials_practical-51fcccefc1555ef8.wav]			georgian audio numbers
1,000	ათასი<br>[sound:ge_essentials_practical-2b6fc411e3808d73.wav]			georgian audio numbers
2,000	ორი ათასი<br>[sound:ge_essentials_practical-d75974346b45aa80.wav]			georgian audio numbers
half a kilo	ნახევარი კილო<br>[sound:ge_essentials_practical-eb00bc7b1b9d3d7d.wav]			georgian audio numbers
100 grams	ასი გრამი<br>[sound:ge_essentials_practical-6a49b060a4464ed7.wav]			georgian audio numbers
one liter	ერთი ლიტრი<br>[sound:ge_essentials_practical-0fd736947689439f.wav]			georgian audio numbers
first	პირველი<br>[sound:ge_essentials_practical-32be4f8eb2f6c465.wav]	Irregular. The rest follow მე-…-ე: მეორე, მესამე.		georgian audio numbers
second	მეორე<br>[sound:ge_essentials_practical-58c64a8d7ab0d586.wav]			georgian audio numbers
third	მესამე<br>[sound:ge_essentials_practical-34a407fc2a3e4b49.wav]			georgian audio numbers
boy	ბიჭი<br>[sound:ge_essentials_practical-436040da7f5e79ae.wav]			georgian audio basics
girl	გოგო<br>[sound:ge_essentials_practical-09eded8e3bb89f08.wav]			georgian audio basics
friend	მეგობარი<br>[sound:ge_essentials_practical-4459e87d00f11cc8.wav]			georgian audio basics
mother	დედა<br>[sound:ge_essentials_practical-3a2a0a543bf6d4b8.wav]	დედა mother, მამა father — the reverse of English mama/dada.		georgian audio basics
father	მამა<br>[sound:ge_essentials_practical-a5e7a3c5a9f840e2.wav]	მამა father, დედა mother — the reverse of English.		georgian audio basics
I	მე<br>[sound:ge_essentials_practical-0c605875a0ace9b5.wav]	Usually dropped; the verb already marks the person.		georgian audio basics
you (polite or plural)	თქვენ<br>[sound:ge_essentials_practical-4d94337510bcb4fc.wav]	Informal singular: შენ.		georgian audio basics
that	ის<br>[sound:ge_essentials_practical-60052ab87c278763.wav]	Also he/she/it. Georgian marks no gender here.		georgian audio basics
there	იქ<br>[sound:ge_essentials_practical-d8675e72d0e8a839.wav]	იქ there, აქ here.		georgian audio basics
when?	როდის?<br>[sound:ge_essentials_practical-a99e8a29b5b5bb10.wav]			georgian audio basics
what?	რა?<br>[sound:ge_essentials_practical-7efbd246999c4d5c.wav]	Changes form in context: რას მირჩევთ?		georgian audio basics
later	მერე<br>[sound:ge_essentials_practical-0f22fe2c31e4b107.wav]			georgian audio basics
minute	წუთი<br>[sound:ge_essentials_practical-cc2996fb59df0395.wav]			georgian audio basics
hour / clock / watch	საათი<br>[sound:ge_essentials_practical-75d8236783b869ca.wav]	One word for hour, clock and watch.		georgian audio basics
big	დიდი<br>[sound:ge_essentials_practical-90501a5bdbe88ce5.wav]			georgian audio basics
small	პატარა<br>[sound:ge_essentials_practical-0142ed414bd4a3a2.wav]			georgian audio basics
good	კარგი<br>[sound:ge_essentials_practical-ff500e27dc2a1471.wav]	Also used alone to mean okay.		georgian audio basics
bad	ცუდი<br>[sound:ge_essentials_practical-323dd961e8bb8834.wav]			georgian audio basics
and	და<br>[sound:ge_essentials_practical-a10a8d4eb20a665a.wav]			georgian audio basics
I&#x27;m lost.	დავიკარგე.<br>[sound:ge_essentials_practical-06b6e56afa7f3bea.wav]	დავიკარგე I&#x27;m lost; დავკარგე I lost something.		georgian audio help
Where is the pharmacy?	აფთიაქი სად არის?<br>[sound:ge_essentials_practical-fea5a89d3e6435b1.wav]			georgian audio help
I need a doctor.	ექიმი მჭირდება.<br>[sound:ge_essentials_practical-a2ec5482af8bc99b.wav]			georgian audio help
Where is the ATM?	ბანკომატი სად არის?<br>[sound:ge_essentials_practical-f11e226a97b2bcaf.wav]			georgian audio shopping
The internet isn&#x27;t working.	ინტერნეტი არ მუშაობს.<br>[sound:ge_essentials_practical-0091c358514ce004.wav]	არ მუშაობს covers anything broken.		georgian audio basics
What is the Wi-Fi password?	ვაიფაის პაროლი რა არის?<br>[sound:ge_essentials_practical-6b00dcdb3ce79126.wav]			georgian audio basics
Please write the number down.	ნომერი დამიწერეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-30ca332bef32be08.wav]	ნომერი is a number label; a price is ფასი.		georgian audio clarification expansion
I meant this one.	ეს ვიგულისხმე.<br>[sound:ge_essentials_practical-cf9271c83cd41d49.wav]			georgian audio clarification expansion
That&#x27;s not what I ordered.	ეს არ შემიკვეთავს.<br>[sound:ge_essentials_practical-8ee17008e7917ca6.wav]	Literally: I haven&#x27;t ordered this.		georgian audio clarification expansion
Only one, please.	მხოლოდ ერთი, თუ შეიძლება.<br>[sound:ge_essentials_practical-57182a7550ba18d1.wav]			georgian audio clarification expansion
The same, please.	იგივე, თუ შეიძლება.<br>[sound:ge_essentials_practical-c17cceb9212f7da7.wav]			georgian audio clarification expansion
Can you show me?	შეგიძლიათ მაჩვენოთ?<br>[sound:ge_essentials_practical-839986a1b7782c35.wav]	შეგიძლიათ + verb = can you…		georgian audio clarification expansion
Is this correct?	ეს სწორია?<br>[sound:ge_essentials_practical-c2b20d090717d80b.wav]			georgian audio clarification expansion
There&#x27;s a mistake here.	აქ შეცდომაა.<br>[sound:ge_essentials_practical-73681639f04e8673.wav]			georgian audio clarification expansion
Please wait for me.	დამელოდეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-38fe311ce88b231a.wav]			georgian audio clarification expansion
I&#x27;m allergic to peanuts.	მიწის თხილზე ალერგია მაქვს.<br>[sound:ge_essentials_practical-7fad129fe240ad69.wav]	მიწის თხილი peanut, თხილი hazelnut, ნიგოზი walnut.		georgian audio food expansion
I&#x27;m allergic to milk.	რძეზე ალერგია მაქვს.<br>[sound:ge_essentials_practical-bbccd7eae5bc395a.wav]			georgian audio food expansion
Does this contain milk?	ამაში რძე არის?<br>[sound:ge_essentials_practical-9619c7b14ee37df1.wav]			georgian audio food expansion
Does this contain eggs?	ამაში კვერცხი არის?<br>[sound:ge_essentials_practical-497394414d7ddabd.wav]			georgian audio food expansion
Does this contain butter?	ამაში კარაქი არის?<br>[sound:ge_essentials_practical-f9cab9500dd4b888.wav]			georgian audio food expansion
Without coriander, please.	ქინძის გარეშე, თუ შეიძლება.<br>[sound:ge_essentials_practical-9973769d612dc345.wav]	ქინძი → ქინძის before გარეშე.		georgian audio food expansion
Without meat or meat broth, please.	ხორცისა და ხორცის ბულიონის გარეშე, თუ შეიძლება.<br>[sound:ge_essentials_practical-75195154daf9ec8a.wav]			georgian audio food expansion
I don&#x27;t eat pork.	ღორის ხორცს არ ვჭამ.<br>[sound:ge_essentials_practical-20255a824164eba1.wav]			georgian audio food expansion
Can you make it without cheese?	ყველის გარეშე შეგიძლიათ მოამზადოთ?<br>[sound:ge_essentials_practical-6fd7652c250d1c0f.wav]			georgian audio food expansion
Is service included in the price?	მომსახურება ფასში შედის?<br>[sound:ge_essentials_practical-5de26d8f2f83e4a7.wav]	You&#x27;ll hear ფასში შედის back.		georgian audio restaurant expansion
Please call the police.	პოლიცია გამოიძახეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-bb85422a184ed226.wav]			georgian audio help expansion
Where is the nearest hospital?	უახლოესი საავადმყოფო სად არის?<br>[sound:ge_essentials_practical-6238cab510716d4f.wav]			georgian audio help expansion
I lost my phone.	ტელეფონი დავკარგე.<br>[sound:ge_essentials_practical-29b13b89f27657dc.wav]	დავკარგე I lost it; დავიკარგე I&#x27;m lost.		georgian audio help expansion
I lost my wallet.	საფულე დავკარგე.<br>[sound:ge_essentials_practical-649da6aa4a9a9470.wav]			georgian audio help expansion
May I use your phone?	შეიძლება თქვენი ტელეფონით ვისარგებლო?<br>[sound:ge_essentials_practical-e03a896c4da056a4.wav]			georgian audio help expansion
My phone battery is dead.	ტელეფონი დამიჯდა.<br>[sound:ge_essentials_practical-d6dc7e0d7972afaf.wav]	Literally: the phone sat down.		georgian audio help expansion
Are you open tomorrow?	ხვალ მუშაობთ?<br>[sound:ge_essentials_practical-78a222cef4610fa2.wav]	Georgian asks are you working: მუშაობთ.		georgian audio time expansion
Can I come tomorrow?	ხვალ შეიძლება მოვიდე?<br>[sound:ge_essentials_practical-179682534a171e67.wav]			georgian audio time expansion
What time is it?	რომელი საათია?<br>[sound:ge_essentials_practical-4cd561392011d8ec.wav]			georgian audio time expansion
At three o&#x27;clock.	სამ საათზე.<br>[sound:ge_essentials_practical-bee20dd4f826efd5.wav]	სამი → სამ before საათზე.		georgian audio time expansion
In ten minutes.	ათ წუთში.<br>[sound:ge_essentials_practical-b7146a274d9854ef.wav]	ათი → ათ before წუთში.		georgian audio time expansion
How long should I wait?	რამდენ ხანს უნდა დაველოდო?<br>[sound:ge_essentials_practical-aeddb65aabd1bb75.wav]			georgian audio time expansion
I&#x27;m late.	ვაგვიანებ.<br>[sound:ge_essentials_practical-f3a9dc75060b4757.wav]			georgian audio time expansion
Monday	ორშაბათი<br>[sound:ge_essentials_practical-f6344259037c99f5.wav]	Days count from შაბათი: ორ-, სამ-, ოთხ-, ხუთ- + შაბათი. On a day, add -ს: ორშაბათს.		georgian audio time expansion
Tuesday	სამშაბათი<br>[sound:ge_essentials_practical-a20fd7938210e9e2.wav]			georgian audio time expansion
Wednesday	ოთხშაბათი<br>[sound:ge_essentials_practical-88f59e82c063537f.wav]			georgian audio time expansion
Thursday	ხუთშაბათი<br>[sound:ge_essentials_practical-b7323cdc7e943ec5.wav]			georgian audio time expansion
Friday	პარასკევი<br>[sound:ge_essentials_practical-3832036e54eb59fc.wav]			georgian audio time expansion
Saturday	შაბათი<br>[sound:ge_essentials_practical-c183815d24d843aa.wav]			georgian audio time expansion
Sunday	კვირა<br>[sound:ge_essentials_practical-a7b96cc889b37818.wav]	კვირა also means week. On Sunday: კვირას.		georgian audio time expansion
The key doesn&#x27;t work.	გასაღები არ მუშაობს.<br>[sound:ge_essentials_practical-88d0ed2f830fd8bc.wav]			georgian audio accommodation expansion
There is no electricity.	დენი არ არის.<br>[sound:ge_essentials_practical-61653cb9a89c4879.wav]	დენი = electric current.		georgian audio accommodation expansion
The heating isn&#x27;t working.	გათბობა არ მუშაობს.<br>[sound:ge_essentials_practical-a756920b8cdec380.wav]			georgian audio accommodation expansion
The air conditioner isn&#x27;t working.	კონდიციონერი არ მუშაობს.<br>[sound:ge_essentials_practical-26d308c6b1027614.wav]			georgian audio accommodation expansion
Can you fix it?	შეგიძლიათ შეაკეთოთ?<br>[sound:ge_essentials_practical-0002d4d06d57cea1.wav]			georgian audio accommodation expansion
At what time should I check out?	რომელ საათზე უნდა გავიდე ნომრიდან?<br>[sound:ge_essentials_practical-40b670aec2006c43.wav]	ნომერი means a hotel room here.		georgian audio accommodation expansion
Can I leave my bag here?	შეიძლება ჩანთა აქ დავტოვო?<br>[sound:ge_essentials_practical-7677c79f3f666c38.wav]			georgian audio accommodation expansion
Where do I put the rubbish?	ნაგავი სად ჩავყარო?<br>[sound:ge_essentials_practical-71ae4d6195045a83.wav]			georgian audio accommodation expansion
Is this the right direction?	ეს სწორი მიმართულებაა?<br>[sound:ge_essentials_practical-939deea14763b236.wav]			georgian audio transport expansion
Does this bus stop there?	ეს ავტობუსი იქ ჩერდება?<br>[sound:ge_essentials_practical-b9d85b3eba7f9dae.wav]			georgian audio transport expansion
I missed my stop.	ჩემს გაჩერებას გავცდი.<br>[sound:ge_essentials_practical-05698ed0f79f2b17.wav]			georgian audio transport expansion
Where can I top up my travel card?	სამგზავრო ბარათი სად შევავსო?<br>[sound:ge_essentials_practical-011e8a3672419179.wav]			georgian audio transport expansion
Do I need to change buses?	სხვა ავტობუსში უნდა გადავჯდე?<br>[sound:ge_essentials_practical-13ae29d7470fc2d9.wav]	You may hear უნდა გადაჯდეთ.		georgian audio transport expansion
Is this seat free?	ეს ადგილი თავისუფალია?<br>[sound:ge_essentials_practical-6f70ca277788ca20.wav]			georgian audio transport expansion
Where should I wait?	სად დაველოდო?<br>[sound:ge_essentials_practical-858f5a3c4df2ebad.wav]			georgian audio transport expansion
What&#x27;s your name? (polite)	რა გქვიათ?<br>[sound:ge_essentials_practical-71cea883f1737b59.wav]	Informal singular: რა გქვია?		georgian audio social expansion
Nice to meet you.	სასიამოვნოა თქვენი გაცნობა.<br>[sound:ge_essentials_practical-159d099f1cb44b6c.wav]			georgian audio social expansion
Where are you from? (polite)	საიდან ხართ?<br>[sound:ge_essentials_practical-83bb554fd450c6e9.wav]			georgian audio social expansion
I live here.	აქ ვცხოვრობ.<br>[sound:ge_essentials_practical-bfb306e2df9bcd6e.wav]			georgian audio social expansion
Have a good day.	კარგ დღეს გისურვებთ.<br>[sound:ge_essentials_practical-46fae99c16bf93a0.wav]			georgian audio social expansion
See you tomorrow.	ხვალამდე.<br>[sound:ge_essentials_practical-8a7e381df1f572f4.wav]	-მდე again: literally until tomorrow.		georgian audio social expansion
I like Georgia.	საქართველო მომწონს.<br>[sound:ge_essentials_practical-59af0bb83df9135f.wav]	საქართველო the country; ქართული the language.		georgian audio social expansion
I don&#x27;t drink alcohol.	ალკოჰოლს არ ვსვამ.<br>[sound:ge_essentials_practical-efa025fa843536ac.wav]			georgian audio boundaries expansion
I don&#x27;t need help, thank you.	დახმარება არ მჭირდება, მადლობა.<br>[sound:ge_essentials_practical-845792ef5e699e68.wav]			georgian audio boundaries expansion
Please don&#x27;t do that.	ასე ნუ აკეთებთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-0266ab3c44ca3a88.wav]	ნუ + verb is the negative command, not არ.		georgian audio boundaries expansion
Please leave me alone.	თავი დამანებეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-90b80f34b04de667.wav]			georgian audio boundaries expansion
Don&#x27;t touch me.	არ შემეხოთ.<br>[sound:ge_essentials_practical-6187b4bcac688e2f.wav]			georgian audio boundaries expansion
You hear: უნდა გადაჯდეთ.<br>[sound:ge_essentials_practical-f9626b569cd3cb82.wav]	You need to transfer.			georgian audio replies recognition expansion
You hear: გვერდით იკითხეთ.<br>[sound:ge_essentials_practical-2e9c7942173eed58.wav]	Ask next door. / Ask at the neighboring place.	გვერდით = next door.		georgian audio replies recognition expansion
You hear: ფასში შედის.<br>[sound:ge_essentials_practical-8e2c961e4b016106.wav]	It&#x27;s included in the price.			georgian audio replies recognition expansion
You hear: დაელოდეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-b5662ff014725c06.wav]	Please wait.			georgian audio replies recognition expansion
You hear: თქვენი ჯერია.<br>[sound:ge_essentials_practical-964bfe86ee2dc4e1.wav]	It&#x27;s your turn.			georgian audio replies recognition expansion
You hear: სამწუხაროდ, არა.<br>[sound:ge_essentials_practical-d5fab2ba45f364a0.wav]	Unfortunately, no.			georgian audio replies recognition expansion
You hear: რა თქმა უნდა.<br>[sound:ge_essentials_practical-b264010c55ee17ce.wav]	Of course.	Literally: what is there to say.		georgian audio replies recognition expansion
You hear: პრობლემა არ არის.<br>[sound:ge_essentials_practical-873858179b1a6e67.wav]	No problem.			georgian audio replies recognition expansion
You hear: ხვალ მოდით.<br>[sound:ge_essentials_practical-3bf20784d138b280.wav]	Come tomorrow.			georgian audio replies recognition expansion
You hear: სად გტკივათ?<br>[sound:ge_essentials_practical-f80cc4a939a9b2be.wav]	Where does it hurt?	Answer აქ მტკივა and point.		georgian audio replies recognition expansion
Read aloud:<br>ფური და პური.	Cow and bread.	ფ aspirated · პ ejective.	[sound:ge_essentials_01-furi-puri.wav]	georgian pronunciation audio
Read aloud:<br>თარო და ტარო.	Shelf and corn cob.	თ aspirated · ტ ejective.	[sound:ge_essentials_02-taro.wav]	georgian pronunciation audio
Read aloud:<br>ქარი და კარი.	Wind and door.	ქ aspirated · კ ejective. Both stops, not ხ.	[sound:ge_essentials_03-kari.wav]	georgian pronunciation audio
Read aloud:<br>ცელი და წელი.	Scythe and year.	ც aspirated · წ ejective. One consonant each.	[sound:ge_essentials_04-tseli.wav]	georgian pronunciation audio
Read aloud:<br>ჩირი და ჭირი.	Dried fruit and affliction.	ჩ aspirated · ჭ ejective. Neither is შ.	[sound:ge_essentials_05-chiri.wav]	georgian pronunciation audio
Read aloud:<br>კაცი და ქალი.	Man and woman.	კ ejective · ქ aspirated.	[sound:ge_essentials_06-man-woman.wav]	georgian pronunciation audio
Read aloud:<br>პური, თუ შეიძლება.	Bread, please.	პ ejective · თ aspirated · ძ voiced.	[sound:ge_essentials_07-bread-please.wav]	georgian pronunciation audio
Read aloud:<br>თეთრი პური.	White bread.	თ aspirated · პ ejective. No vowel in თრ.	[sound:ge_essentials_08-white-bread.wav]	georgian pronunciation audio
Read aloud:<br>ცხელი ჩაი.	Hot tea.	ც, ჩ aspirated · ხ friction. No vowel in ცხ.	[sound:ge_essentials_09-hot-tea.wav]	georgian pronunciation audio
Read aloud:<br>წყალი, თუ შეიძლება.	Water, please.	წ ejective + ყ uvular, no vowel between.	[sound:ge_essentials_10-water-please.wav]	georgian pronunciation audio
Read aloud:<br>ყავა და ყველი.	Coffee and cheese.	ყ uvular — not კ, ქ or ხ. Then ყვ.	[sound:ge_essentials_11-coffee-cheese.wav]	georgian pronunciation audio
Read aloud:<br>ღვინო და ხილი.	Wine and fruit.	ღ voiced · ხ voiceless. Both friction, not ქ.	[sound:ge_essentials_12-wine-fruit.wav]	georgian pronunciation audio
Read aloud:<br>დიდი მადლობა.	Thank you very much.	დ voiced, not თ or ტ. No vowel in დლ.	[sound:ge_essentials_13-thanks.wav]	georgian pronunciation audio
Read aloud:<br>ბაყაყი წყალში ყიყინებს.	The frog croaks in the water.	Repeated ყ · წყ cluster. Tongue twister.	[sound:ge_essentials_14-frog.wav]	georgian pronunciation audio
Read aloud:<br>რვა, ცხრა, ათი.	Eight, nine, ten.	Clusters რვ, ცხრ · თ aspirated. No extra vowels.	[sound:ge_essentials_15-numbers.wav]	georgian pronunciation audio
Read aloud:<br>ხუთი ხინკალი, თუ შეიძლება.	Five khinkali, please.	ხ friction · თ aspirated · კ ejective.	[sound:ge_essentials_16-five-khinkali.wav]	georgian pronunciation audio
Read aloud:<br>ქართულს ვსწავლობ.	I am learning Georgian.	ვსწ cluster · წ ejective · ქ, თ aspirated.	[sound:ge_essentials_17-learning.wav]	georgian pronunciation audio
Read aloud:<br>თეთრი თეფში.	A white plate.	თ aspirated · ფ aspirated, not შ.	[sound:ge_essentials_18-tetri.wav]	georgian pronunciation audio
